ID,smiles
Motixafortide,NC(=[NH2+])NCCCC(NC(=O)C1CSSCC(NC(=O)C(Cc2ccc3ccccc3c2)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)c2ccc(F)cc2)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CCCNC(N)=O)C(=O)NC(CCCC[NH3+])C(=O)NC(CCCC[NH3+])C(=O)N2CCCC2C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(CCCNC(N)=[NH2+])C(=O)NC(CCCNC(N)=O)C(=O)N1)C(N)=O
Plitidepsin,CCC(C)C1NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C2CCCN2C(=O)C(C)=O)C(C)OC(=O)C(Cc2ccc(OC)cc2)N(C)C(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(C)C(=O)C(C(C)C)OC(=O)CC1O
OBP-801,CC1NC(=O)CC2C=CCCSSCC(NC1=O)C(=O)NC(C(C)C)C(O)CC(=O)O2
AZD-5991,Cc1c2c(nn1C)CSCc1cc(n(C)n1)CSc1cc(c3ccccc3c1)OCCCc1c(C(=O)[O-])n(C)c3c-2c(Cl)ccc13
E-6201,CCNc1cc(O)c2c(c1)C=CCC(O)C(O)C(=O)C=CC(C)C(C)OC2=O
Talaporfin,C=Cc1c(C)c2cc3nc(c(CC(=O)NC(CC(=O)[O-])C(=O)[O-])c4nc(cc5[nH]c(cc1[nH]2)c(C)c5CC)C(C)=C4C(=O)[O-])C(CCC(=O)[O-])C3C
HPPH,CCCCCCOC(C)c1c2[nH]c(c1C)C=C1N=C(C3=CC(=O)c4c3[nH]c(c4C)C=c3[nH]c(c(C)c3CC)=C2)C(CCC(=O)[O-])C1C
Ridaforolimus,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OP(C)(C)=O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C
Satoreotide tetraxetan,CC(O)C1NC(=O)C(CCCC[NH3+])NC(=O)C(Cc2ccc(NC(N)=O)cc2)NC(=O)C(Cc2ccc(NC(=O)C3CC(=O)NC(=O)N3)cc2)NC(=O)C(NC(=O)C(Cc2ccc(Cl)cc2)NC(=O)CN2CCN(CC(=O)[O-])CCN(CC(=O)[O-])CCN(CC(=O)[O-])CC2)CSSCC(C(=O)NC(Cc2ccc(O)cc2)C(N)=O)NC1=O
H3B-8800,CC(=CC=CC(C)c1ccccn1)C1OC(=O)CC(O)CCC(C)(O)C(OC(=O)N2CC[NH+](C)CC2)C=CC1C
ADU-S100,Nc1ncnc2c1ncn2C1OC2COP(=O)([S-])OC3C(O)C(COP(=O)([S-])OC2C1O)OC3n1cnc2c(N)ncnc21
Selitrectinib,CC1CCc2ncc(F)cc2C2CCCN2c2ccn3ncc(c3n2)C(=O)N1
Patupilone,CC(=Cc1csc(C)n1)C1CC2OC2(C)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O1
KOSN-1724,CC1=CCC(C(C)=Cc2cc(C)on2)OC(=O)CC(O)C(C)(C)C(=O)C(C)C(O)C(C)C=CC1
Merotocin,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)CCCSCC(C(=O)N(CC(=O)NC(CC(C)C)C(=O)NCC(N)=O)Cc2ccc(F)cc2)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
Selepressin,CCC(C)C1NC(=O)C(Cc2ccccc2)NC(=O)C([NH3+])CSSCC(C(=O)N2CCCC2C(=O)NC(CCC[NH2+]C(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCCC(N)=O)NC1=O
CHEMBL100279,COc1ccc(C=CC(C)C2CC=CC(=O)NC(Cc3ccc(OC)c(Cl)c3)C(=O)NCC(C)(C)C(=O)OC(CC(C)C)C(=O)O2)cc1
CHEMBL100361,COc1c(Br)cc2cc1Oc1ccc(cc1)CC(O)COC(=O)CC2
CHEMBL100603,COc1ccc(CC2NC(=O)C=CCC(C(C)C=Cc3ccc(CO)cc3)OC(=O)C(CC(C)C)OC(=O)C(C)(C)CNC2=O)cc1Cl
CHEMBL100684,CCC(CC(C)C(=O)[O-])C(=O)CCC1=CC(C)CC(C)=CC(C)C(O)C(C)CCC(CCCCC=CC(C)CCC(C)OC(=O)CC(CC(=O)[O-])C(=O)[O-])OC(=O)CC(C(=O)[O-])CC(=O)OC1
